line_reactance_pu,line_resistance_pu,line_dynamics_fraction,spectral_abscissa_per_s,stable_by_eigenvalues,low_mode_real_per_s,low_mode_frequency_hz,low_mode_tracking_status,intermediate_mode_real_per_s,intermediate_mode_frequency_hz,intermediate_mode_tracking_status,wide_mode_real_per_s,wide_mode_frequency_hz,wide_mode_tracking_status
0.05,0.0033333333333333335,0.0,8.600796454359823,False,-0.3193465556689016,2.6589963974034956,matched,8.600796454359823,5.165214829388347,matched,-645.2020630557165,57.331100925461264,matched
0.05,0.0033333333333333335,0.25,8.628086162825436,False,-0.3337870715767435,2.6597764238565054,matched,8.628086162825436,5.136011018048503,matched,-617.7199963955603,54.459880231234585,matched
0.05,0.0033333333333333335,0.5,8.653636493599658,False,-0.34827346628730327,2.6605777012817313,matched,8.653636493599658,5.106954173002035,matched,-592.7499295097314,51.85294239940167,matched
0.05,0.0033333333333333335,0.75,8.677497697297163,False,-0.3628097123660585,2.661400246737329,matched,8.677497697297163,5.078047945807001,matched,-569.9640880606486,49.47485193466525,matched
0.05,0.0033333333333333335,1.0,8.699719760611973,False,-0.37739984078716193,2.662244066146172,anchor,8.699719760611973,5.04929569841573,anchor,-549.0888681761197,47.29647710840153,anchor
0.1,0.006666666666666667,0.0,5.401275034023713,False,-1.1387257177275658,2.3485167451561146,matched,5.401275034023713,6.035908452295584,matched,-644.7658589071698,66.76989257950355,matched
0.1,0.006666666666666667,0.25,5.5411306733341394,False,-1.148568023222284,2.348484229173305,matched,5.5411306733341394,5.984697637289613,matched,-592.0347071957857,60.3698015718167,matched
0.1,0.006666666666666667,0.5,5.6729346266970335,False,-1.1583579554634085,2.3485083763359285,matched,5.6729346266970335,5.933462759685673,matched,-548.1171279700303,55.04528428625405,matched
0.1,0.006666666666666667,0.75,5.796860443800181,False,-1.168102220725026,2.3485894658594946,matched,5.796860443800181,5.88225863332508,matched,-510.9964449317041,50.54440319132386,matched
0.1,0.006666666666666667,1.0,5.9130981690220406,False,-1.1778075716056147,2.3487277873335795,anchor,5.9130981690220406,5.831136602796631,anchor,-479.2192607020145,46.689942734436265,anchor
0.2,0.013333333333333334,0.0,-1.6406056605579042,True,-2.224077401452937,1.9217963637887219,matched,-1.6406056605579042,7.152144860552768,matched,-643.7561262477427,86.01752773526988,matched
0.2,0.013333333333333334,0.25,-1.144725783498059,True,-2.224739784346127,1.9211944525882174,matched,-1.144725783498059,7.091864658395841,matched,-546.03702847302,70.94425344086162,matched
0.2,0.013333333333333334,0.5,-0.6672305687247055,True,-2.225428522640432,1.920671121994211,matched,-0.6672305687247055,7.028203117047589,matched,-476.2063020328296,60.16964642425081,matched
0.2,0.013333333333333334,0.75,-0.20971925039699357,True,-2.226146299300657,1.9202259947590758,matched,-0.20971925039699357,6.961462103350769,matched,-424.0086738720904,52.086743807047654,matched
0.2,0.013333333333333334,1.0,0.22649689697808562,False,-2.226895813563284,1.9198587524643858,anchor,0.22649689697808562,6.891968605087524,anchor,-383.5817535837395,45.80668732317535,anchor
0.3,0.02,0.0,-2.8018860550371536,True,-2.8018860550371536,1.6409526490352344,matched,-8.548947715402672,7.689241511129655,matched,-643.4959405236636,105.57520223106945,matched
0.3,0.02,0.25,-2.798988360044339,True,-2.798988360044339,1.64054440599738,matched,-7.7606136791949005,7.660734351412655,matched,-506.57547010482926,80.17694028977392,matched
0.3,0.02,0.5,-2.796212737767046,True,-2.796212737767046,1.6402036876711141,matched,-6.972350488225797,7.624137218967449,matched,-420.7492819771235,64.19221906059012,matched
0.3,0.02,0.75,-2.7935580615609252,True,-2.7935580615609252,1.6399302146892252,matched,-6.190392152951005,7.579342921460161,matched,-362.44593184711033,53.22817748368132,matched
0.3,0.02,1.0,-2.791023363306113,True,-2.791023363306113,1.639723757826476,anchor,-5.421146108155718,7.526428776259664,anchor,-320.40972496623453,45.26031578249624,anchor
0.5,0.03333333333333333,0.0,-3.421837431860736,True,-3.421837431860736,1.2774584780372373,matched,-19.415983487232168,7.830925214610869,matched,-646.6010478411866,144.68282926164616,pending
0.5,0.03333333333333333,0.25,-3.4178718915961515,True,-3.4178718915961515,1.2774257664885922,matched,-18.550004628401027,7.892922924943807,matched,-443.97165781931994,95.52786947726328,pending
0.5,0.03333333333333333,0.5,-3.4140899667807734,True,-3.4140899667807734,1.277435729203298,matched,-17.61093937804077,7.9490032210196375,matched,-341.3023124365649,70.28735034760663,matched
0.5,0.03333333333333333,0.75,-3.4104897467629023,True,-3.4104897467629023,1.2774884460480267,matched,-16.59768563459805,7.996915594599287,matched,-280.6496561930925,55.03024070258325,matched
0.5,0.03333333333333333,1.0,-3.4070695001170654,True,-3.4070695001170654,1.2775840148189153,anchor,-15.512465220115503,8.03409493158902,anchor,-240.91381516225755,44.841611768276955,anchor
