frequency_Hz,normalized_margin,normalized_lower_bound,normalized_upper_bound,classification
0.6,-0.145956638026189,-0.145956638026189,-0.14377559816506,non-sectorial
0.605,-0.143324477952992,-0.143324477952992,-0.14114682759152,non-sectorial
0.61,-0.140700384256725,-0.140700384256725,-0.138519021059006,non-sectorial
0.615,-0.138084435666064,-0.138084435666064,-0.135908093640756,non-sectorial
0.62,-0.135476711141397,-0.135476711141397,-0.133295126879474,non-sectorial
0.625,-0.132877289884939,-0.132877289884939,-0.130702585608821,non-sectorial
0.63,-0.130286251351477,-0.130286251351477,-0.128104590562535,non-sectorial
0.635,-0.127703675259772,-0.127703675259772,-0.125528993243387,non-sectorial
0.64,-0.125129641604669,-0.125129641604669,-0.122948097846587,non-sectorial
0.645,-0.122564230669918,-0.122564230669918,-0.120388112367801,non-sectorial
0.65,-0.120007523041746,-0.120007523041746,-0.117826346469826,non-sectorial
0.655,-0.117459599623218,-0.117459599623218,-0.115282091456992,non-sectorial
0.66,-0.114920541649395,-0.114920541649395,-0.112740047520682,non-sectorial
0.665,-0.112390430703351,-0.112390430703351,-0.110211629934036,non-sectorial
0.67,-0.109869348733039,-0.109869348733039,-0.10768992695897,non-sectorial
0.675,-0.107357378069078,-0.107357378069078,-0.105177441286143,non-sectorial
0.68,-0.104854601443457,-0.104854601443457,-0.102676727327688,non-sectorial
0.685,-0.102361102009206,-0.102361102009206,-0.100180254719227,non-sectorial
0.69,-0.0998769633610474,-0.0998769633610474,-0.0977012096779305,non-sectorial
0.695,-0.0974022695570863,-0.0974022695570863,-0.0952208170193903,non-sectorial
0.7,-0.0949371051415275,-0.0949371051415275,-0.0927641557322278,non-sectorial
0.705,-0.0924815551684881,-0.0924815551684881,-0.0902998946458765,non-sectorial
0.71,-0.0900357052269061,-0.0900357052269061,-0.087862742030637,non-sectorial
0.715,-0.0875996414665944,-0.0875996414665944,-0.0854182760833584,non-sectorial
0.72,-0.0851734506254559,-0.0851734506254559,-0.0829978963169351,non-sectorial
0.725,-0.0827572200578866,-0.0827572200578866,-0.0805767744853243,non-sectorial
0.73,-0.0803510377644141,-0.0803510377644141,-0.0781731956118812,non-sectorial
0.735,-0.077954992422577,-0.077954992422577,-0.0757762306449295,non-sectorial
0.74,-0.0755691734190812,-0.0755691734190812,-0.0733894620552057,non-sectorial
0.745,-0.073193670883271,-0.073193670883271,-0.0710175163352007,non-sectorial
0.75,-0.0708285757219448,-0.0708285757219448,-0.0686475473583428,non-sectorial
0.755,-0.0684739796555202,-0.0684739796555202,-0.0663015380670128,non-sectorial
0.76,-0.0661299752556199,-0.0661299752556199,-0.0639483364310664,non-sectorial
0.765,-0.0637966559840909,-0.0637966559840909,-0.0616264721447535,non-sectorial
0.77,-0.0614741162334872,-0.0614741162334872,-0.0592927514669523,non-sectorial
0.775,-0.0591624513690776,-0.0591624513690776,-0.0569882958122565,non-sectorial
0.78,-0.0568617577724155,-0.0568617577724155,-0.0546817565523785,non-sectorial
0.785,-0.0545721328865117,-0.0545721328865117,-0.0523946414565509,non-sectorial
0.79,-0.0522936752626819,-0.0522936752626819,-0.0501163628755815,non-sectorial
0.795,-0.0500264846091395,-0.0500264846091395,-0.0478464930532463,non-sectorial
0.8,-0.0477706618413965,-0.0477706618413965,-0.0455976346267819,non-sectorial
0.805,-0.0455263091345813,-0.0455263091345813,-0.0433448852375354,non-sectorial
0.81,-0.0432935299777732,-0.0432935299777732,-0.0411266956984203,non-sectorial
0.815,-0.0410724292304772,-0.0410724292304772,-0.0388909097583019,non-sectorial
0.82,-0.0388631131814123,-0.0388631131814123,-0.0366914258872623,non-sectorial
0.825,-0.0366656896097578,-0.0366656896097578,-0.034485722840397,non-sectorial
0.83,-0.0344802678491088,-0.0344802678491088,-0.0323038241701853,non-sectorial
0.835,-0.032306958854341,-0.032306958854341,-0.0301305536150898,non-sectorial
0.84,-0.0301458752717471,-0.0301458752717471,-0.0279660247738006,non-sectorial
0.845,-0.0279971315127135,-0.0279971315127135,-0.0258267138144974,non-sectorial
0.85,-0.0258608438314236,-0.0258608438314236,-0.0236792971983822,non-sectorial
0.855,-0.023737130406989,-0.023737130406989,-0.0215722495636331,non-sectorial
0.86,-0.0216261114306592,-0.0216261114306592,-0.0194450006673064,non-sectorial
0.865,-0.0195279091986723,-0.0195279091986723,-0.0173556892302068,non-sectorial
0.87,-0.0174426482115846,-0.0174426482115846,-0.0152645967341359,non-sectorial
0.875,-0.0153704552809401,-0.0153704552809401,-0.0131926842574756,non-sectorial
0.88,-0.0133114596443061,-0.0133114596443061,-0.0111396640563477,non-sectorial
0.885,-0.0112657930898989,-0.0112657930898989,-0.00908475647388486,non-sectorial
0.89,-0.00923359009216321,-0.00923359009216321,-0.00707191580832006,non-sectorial
0.895,-0.00721498795990312,-0.00721498795990312,-0.00503355649525959,non-sectorial
0.9,-0.00521012699883826,-0.00521012699883826,-0.00304134796049884,non-sectorial
0.905,-0.00321915069065666,-0.00321915069065666,-0.00104088392908738,non-sectorial
0.91,-0.00124220589103594,-0.00124220589103594,0.000934208796971591,indeterminate
0.915,0.000720556950608669,0.000720556950608669,0.00289128838699229,strict-sectorial
0.92,0.00266898354643719,0.00266898354643719,0.00484984741627311,strict-sectorial
0.925,0.00460291549694361,0.00460291549694361,0.00676078514327899,strict-sectorial
0.93,0.00652218998495412,0.00652218998495412,0.00870347753236658,strict-sectorial
0.935,0.00842663943216419,0.00842663943216419,0.010594291278878,strict-sectorial
0.94,0.0103160911127675,0.0103160911127675,0.0124927786282624,strict-sectorial
0.945,0.0121903667180503,0.0121903667180503,0.0143672010837378,strict-sectorial
0.95,0.014049281864904,0.014049281864904,0.0162151567522556,strict-sectorial
0.955,0.0158926455403194,0.0158926455403194,0.0180740270082132,strict-sectorial
0.96,0.01772025947278,0.01772025947278,0.0198756270168141,strict-sectorial
0.965,0.0195319174202419,0.0195319174202419,0.0217119608034994,strict-sectorial
0.97,0.0213274043630254,0.0213274043630254,0.0234974469264621,strict-sectorial
0.975,0.0231064955882742,0.0231064955882742,0.0252778090202671,strict-sectorial
0.98,0.0248689556508991,0.0248689556508991,0.027048221882749,strict-sectorial
0.985,0.0266145371938193,0.0266145371938193,0.0287679094407374,strict-sectorial
0.99,0.0283429796080048,0.0283429796080048,0.0305244212677067,strict-sectorial
0.995,0.0300540075101641,0.0300540075101641,0.0322154557122536,strict-sectorial
1,0.0317473290129624,0.0317473290129624,0.0339219455834823,strict-sectorial
1.005,0.0334226337592322,0.0334226337592322,0.0355985113158888,strict-sectorial
1.01,0.0350795906879074,0.0350795906879074,0.0372359907832829,strict-sectorial
1.015,0.0367178454951007,0.0367178454951007,0.038899489700005,strict-sectorial
1.02,0.0383370177491515,0.0383370177491515,0.0404893542662172,strict-sectorial
1.025,0.0399366976131813,0.0399366976131813,0.0421128478841747,strict-sectorial
1.03,0.0415164421232153,0.0415164421232153,0.0436888291200612,strict-sectorial
1.035,0.0430757709639947,0.0430757709639947,0.0452319352021972,strict-sectorial
1.04,0.0446141616784741,0.0446141616784741,0.04679561707183,strict-sectorial
1.045,0.0461310442411115,0.0461310442411115,0.0482754550952087,strict-sectorial
1.05,0.0476257949196537,0.0476257949196537,0.0498017679645415,strict-sectorial
1.055,0.0490977293460037,0.0490977293460037,0.051267915787479,strict-sectorial
1.06,0.0505460947150806,0.0505460947150806,0.0526975243562683,strict-sectorial
1.065,0.0519700610325814,0.0519700610325814,0.054151563358385,strict-sectorial
1.07,0.0533687113408316,0.0533687113408316,0.0555086147229848,strict-sectorial
1.075,0.054741030869206,0.054741030869206,0.0569143049487305,strict-sectorial
1.08,0.0560858950863041,0.0560858950863041,0.0582566319491988,strict-sectorial
1.085,0.0574020566810445,0.0574020566810445,0.0595410534169362,strict-sectorial
1.09,0.0586881315762742,0.0586881315762742,0.0608697552043933,strict-sectorial
1.095,0.0599425841915991,0.0599425841915991,0.0620841717965333,strict-sectorial
1.1,0.0611637123328143,0.0611637123328143,0.0633287686631461,strict-sectorial
1.105,0.0623496323078546,0.0623496323078546,0.0645245531740319,strict-sectorial
1.11,0.063498265166462,0.063498265166462,0.0656097265887315,strict-sectorial
1.115,0.0646073253444157,0.0646073253444157,0.066786528356488,strict-sectorial
1.12,0.0656743134665132,0.0656743134665132,0.0678264100209875,strict-sectorial
1.125,0.0666965156125507,0.0666965156125507,0.0688397202658491,strict-sectorial
1.13,0.0676710119365534,0.0676710119365534,0.0698517877538843,strict-sectorial
1.135,0.0685946980663615,0.0685946980663615,0.0707082632871095,strict-sectorial
1.14,0.0694643230543377,0.0694643230543377,0.0716294153685705,strict-sectorial
1.145,0.0702765475888822,0.0702765475888822,0.0724469281204105,strict-sectorial
1.15,0.071028025443033,0.071028025443033,0.073117547153694,strict-sectorial
1.155,0.0717155094564647,0.0717155094564647,0.0738928337455705,strict-sectorial
1.16,0.0723359805391476,0.0723359805391476,0.0744869876261652,strict-sectorial
1.165,0.0728867943072969,0.0728867943072969,0.0750039579472309,strict-sectorial
1.17,0.073365835466873,0.073365835466873,0.0755473563837431,strict-sectorial
1.175,0.0737716658636726,0.0737716658636726,0.0759002436210651,strict-sectorial
1.18,0.0741036494847681,0.0741036494847681,0.076240024527243,strict-sectorial
1.185,0.074362037863549,0.074362037863549,0.0765428745824069,strict-sectorial
1.19,0.0745480029858368,0.0745480029858368,0.0766584221886084,strict-sectorial
1.195,0.0746636115688963,0.0746636115688963,0.0768117754907417,strict-sectorial
1.2,0.0747117430345262,0.0747117430345262,0.0768906101807283,strict-sectorial
