frequency_Hz,normalized_margin,normalized_lower_bound,normalized_upper_bound,classification
0.6,-0.25026548729497,-0.25026548729497,-0.248086463599708,non-sectorial
0.605,-0.251012941084837,-0.251012941084837,-0.248832383968906,non-sectorial
0.61,-0.251786605367967,-0.251786605367967,-0.24960504033074,non-sectorial
0.615,-0.252585863454652,-0.252585863454652,-0.250407204357049,non-sectorial
0.62,-0.253410053555659,-0.253410053555659,-0.251228874126746,non-sectorial
0.625,-0.254258474619795,-0.254258474619795,-0.252077553615123,non-sectorial
0.63,-0.255130391901761,-0.255130391901761,-0.252950710500607,non-sectorial
0.635,-0.256025042246225,-0.256025042246225,-0.253843453520939,non-sectorial
0.64,-0.256941639077865,-0.256941639077865,-0.254763391834777,non-sectorial
0.645,-0.257879377090776,-0.257879377090776,-0.255697719501564,non-sectorial
0.65,-0.258837436633879,-0.258837436633879,-0.256658916713077,non-sectorial
0.655,-0.25981498779196,-0.25981498779196,-0.257633347282337,non-sectorial
0.66,-0.26081119416459,-0.26081119416459,-0.258632723071694,non-sectorial
0.665,-0.261825216347538,-0.261825216347538,-0.259643555215724,non-sectorial
0.67,-0.262856215123252,-0.262856215123252,-0.260677501295413,non-sectorial
0.675,-0.26390335436874,-0.26390335436874,-0.261721817283412,non-sectorial
0.68,-0.264965803690588,-0.264965803690588,-0.262785696314765,non-sectorial
0.685,-0.266042740797984,-0.266042740797984,-0.263861887688734,non-sectorial
0.69,-0.267133353625571,-0.267133353625571,-0.264952040660965,non-sectorial
0.695,-0.268236842218576,-0.268236842218576,-0.266057818006684,non-sectorial
0.7,-0.269352420393167,-0.269352420393167,-0.26717081560457,non-sectorial
0.705,-0.270479317185238,-0.270479317185238,-0.268298846206788,non-sectorial
0.71,-0.271616778100968,-0.271616778100968,-0.269436608744783,non-sectorial
0.715,-0.272764066182455,-0.272764066182455,-0.270582405265265,non-sectorial
0.72,-0.273920462901564,-0.273920462901564,-0.271740235440786,non-sectorial
0.725,-0.275085268894912,-0.275085268894912,-0.272905043421036,non-sectorial
0.73,-0.276257804552503,-0.276257804552503,-0.274076153082851,non-sectorial
0.735,-0.277437410472178,-0.277437410472178,-0.275256657030578,non-sectorial
0.74,-0.278623447791528,-0.278623447791528,-0.276444073469738,non-sectorial
0.745,-0.279815298408411,-0.279815298408411,-0.277633923820041,non-sectorial
0.75,-0.281012365100679,-0.281012365100679,-0.278830861511999,non-sectorial
0.755,-0.282214071555139,-0.282214071555139,-0.280034063539121,non-sectorial
0.76,-0.283419862315199,-0.283419862315199,-0.281239785920967,non-sectorial
0.765,-0.284629202656059,-0.284629202656059,-0.282447729610305,non-sectorial
0.77,-0.285841578395739,-0.285841578395739,-0.28366004103177,non-sectorial
0.775,-0.287056495649636,-0.287056495649636,-0.284876041884045,non-sectorial
0.78,-0.288273480535786,-0.288273480535786,-0.286094087680273,non-sectorial
0.785,-0.289492078837403,-0.289492078837403,-0.287311079496113,non-sectorial
0.79,-0.290711855628807,-0.290711855628807,-0.288530218873925,non-sectorial
0.795,-0.291932394870305,-0.291932394870305,-0.289750951907037,non-sectorial
0.8,-0.293153298977129,-0.293153298977129,-0.290972755449923,non-sectorial
