impedance_scale_kappa,SCR,damping_D,maximum_real_pole_Hz,dominant_oscillation_frequency_Hz,closed_loop_reference,sampled_criterion_status,final_classification,gain_pass_count,gain_fail_count,gain_indeterminate_count,phase_pass_count,phase_fail_count,phase_indeterminate_count,uncovered_frequency_count,indeterminate_frequency_count,converter_phase_seed_frequency_Hz,network_phase_seed_frequency_Hz,maximum_transformation_condition,maximum_interconnection_residual
0.5,1.78885438199983,0.04,0.016705257377033,0.75818710935805,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,49,72,0,65,52,4,7,0,0.00170306502925284,0.001,19.3298529856282,8.05951969276852e-16
0.5,1.78885438199983,0.05,0.00740006511182388,0.757885392738,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,49,72,0,65,51,5,7,0,0.00196922025547917,0.001,19.3298529856282,1.04099178526516e-15
0.5,1.78885438199983,0.06,-0.00188869644048897,0.757460103246482,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,65,50,6,7,0,0.00224052786930002,0.001,19.3298529856282,1.02132791055304e-15
0.5,1.78885438199983,0.08,-0.0204147325554713,0.756239327583419,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,66,49,6,6,0,0.00224052786930002,0.001,19.3298529856282,9.15676286715526e-16
0.5,1.78885438199983,0.1,-0.0388682309619675,0.754525400798653,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,66,50,5,6,0,0.00196922025547917,0.001,19.3298529856282,1.08267947800557e-15
0.5,1.78885438199983,0.12,-0.0572441781776608,0.752318281081493,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,66,55,0,6,0,0.001,0.001,19.3298529856282,8.40374258369698e-16
0.5,1.78885438199983,0.14,-0.0755371288238141,0.749617294129645,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,89,32,0,6,0,0.001,0.001,19.3298529856282,7.08766288510547e-16
0.5,1.78885438199983,0.16,-0.093741163330875,0.746421159612632,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,96,25,0,5,0,0.001,0.001,19.3298529856282,8.0984795534729e-16
0.5,1.78885438199983,0.18,-0.111849841454785,0.742728017262447,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,100,21,0,5,0,0.001,0.001,19.3298529856282,7.78408565800251e-16
0.5,1.78885438199983,0.2,-0.129856151299914,0.738535453570737,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,49,72,0,103,18,0,5,0,0.001,0.001,19.3298529856282,7.20827008471572e-16
