case_id,damping_D,closed_loop_reference,study,setting,sample_count,uncovered_count,indeterminate_coverage_count,first_uncovered_frequency_Hz,last_uncovered_frequency_Hz,coverage_mismatch_count,detects_uncovered_region,unobserved_full_grid_uncovered_points
fig8_D_0p05,0.05,unstable,frequency_density,9,9,0,0,,,,False,75
fig8_D_0p05,0.05,unstable,frequency_density,15,15,1,0,0.9976977642363202,0.9976977642363202,,True,74
fig8_D_0p05,0.05,unstable,frequency_density,31,31,2,0,0.6350425168595962,1.081518702552288,,True,73
fig8_D_0p05,0.05,unstable,frequency_density,63,63,5,0,0.5148867450137492,1.4459729217920196,,True,70
fig8_D_0p05,0.05,unstable,frequency_density,125,125,10,0,0.5148867450137492,1.6451905877536626,,True,65
fig8_D_0p05,0.05,unstable,frequency_density,250,250,19,0,0.4985373463873894,1.5929502125721229,,True,56
fig8_D_0p05,0.05,unstable,frequency_density,500,500,37,0,0.5066461008921268,1.6188596901781975,,True,38
fig8_D_0p05,0.05,unstable,frequency_density,1000,1000,75,0,0.4985373463873894,1.6451905877536626,,True,0
fig8_D_0p05,0.05,unstable,decision_tolerance,1e-12,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,decision_tolerance,1e-10,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,decision_tolerance,1e-08,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,decision_tolerance,1e-06,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,common_matrix_scale,1e-09,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,common_matrix_scale,1e-06,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,common_matrix_scale,1.0,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,common_matrix_scale,1000000.0,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p05,0.05,unstable,common_matrix_scale,1000000000.0,1000,75,0,0.4985373463873894,1.6451905877536626,0,,
fig8_D_0p5,0.5,stable,frequency_density,9,9,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,15,15,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,31,31,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,63,63,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,125,125,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,250,250,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,500,500,0,0,,,,False,0
fig8_D_0p5,0.5,stable,frequency_density,1000,1000,0,0,,,,False,0
fig8_D_0p5,0.5,stable,decision_tolerance,1e-12,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,decision_tolerance,1e-10,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,decision_tolerance,1e-08,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,decision_tolerance,1e-06,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,common_matrix_scale,1e-09,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,common_matrix_scale,1e-06,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,common_matrix_scale,1.0,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,common_matrix_scale,1000000.0,1000,0,0,,,0,,
fig8_D_0p5,0.5,stable,common_matrix_scale,1000000000.0,1000,0,0,,,0,,
