impedance_scale_kappa,SCR,critical_damping_D,critical_pole_real_Hz,critical_frequency_Hz,critical_return_zero_real_Hz,pole_zero_mismatch_Hz,dDcrit_dkappa,dRealPole_dD_Hz,dRealPole_dkappa_Hz,predicted_damping_D,predictor_error_D,central_difference_dDcrit_dkappa,tangent_relative_error,characteristic_sigma_min
0.5,1.78885438199983,0.0579652251303196,-1.18041409599827e-10,0.757556646592002,-1.18039428491076e-10,1.11683232379327e-14,0.0455493433820537,-0.928380896229327,0.0422871402316884,0.05,NaN,NaN,NaN,3.3295459866861e-14
0.6,1.49071198499986,0.062177444831007,4.94377981827043e-11,0.706790324967699,4.94309967387847e-11,8.06271739819334e-15,0.0389737895068787,-0.915115339415828,0.0356655126129083,0.062520159468525,0.000342714637517935,0.0392044680557942,0.00588398619737166,1.8407922694846e-14
0.7,1.27775312999988,0.0658061187414785,-2.3940070979052e-11,0.66550253975687,-2.39462497631466e-11,7.24059203300022e-15,0.033792142873842,-0.902539452857344,0.0304987421402345,0.0660748237816949,0.000268705040216449,0.0339565043149215,0.00484035222103926,1.49930566317456e-14
0.8,1.11803398874989,0.0689687456939913,-1.20555596662052e-10,0.631011699402834,-1.20538697072586e-10,2.11136020534436e-14,0.0296013752694199,-0.890617799387267,0.0263635117012875,0.0691853330288627,0.000216587334871329,0.0297241835859244,0.00413159594945389,1.49653469103962e-14
0.9,0.993807989999906,0.0717509554586633,3.7716828561988e-11,0.601598331249705,3.77233001447049e-11,6.63057076647378e-15,0.0261500548360925,-0.879300535713639,0.0229937572263172,0.0719288832209333,0.000177927762269992,0.0262447248455608,0.00360720144811495,2.77208598117271e-14
1,0.894427190999916,0.0742176906631035,-1.21847024446604e-10,0.576101471257931,-1.21844094271948e-10,4.0360430243263e-15,0.0232683328877154,-0.86853423786882,0.0202093437711099,0.0743659609422726,0.000148270279169097,0.0233429421548269,0.00319622379289845,1.72727601850491e-14
1.1,0.813115628181742,0.0764195438896287,-1.24127571606314e-10,0.553704428640461,-1.24148428145014e-10,2.34220233307233e-14,0.0208352923230219,-0.858267167401992,0.0178822473240725,0.076544523951875,0.000124980062246316,0.02089508165549,0.00286140697862843,2.6410960796381e-14
1.2,0.74535599249993,0.0783967069942015,6.08547012540764e-12,0.533813198582073,6.08679220560857e-12,5.06072509040124e-15,0.0187617011914327,-0.848451598746069,0.0159183953710671,0.0785030731219309,0.000106366127729421,0.0188102621776641,0.00258162197701988,1.07959025005264e-14
1.3,0.688020916153781,0.0801815963251615,-7.61248557090953e-11,0.515983624389319,-7.61123887162734e-11,1.37858444859728e-14,0.0169799832338173,-0.839044625850952,0.0142469636793736,0.0802728771133448,9.12807881832262e-05,0.0170198681892828,0.00234343503850503,2.38298428964909e-14
1.4,0.63887656499994,0.081800680632058,5.68195734953557e-11,0.49987577132472,5.68251545377989e-11,8.73293188212192e-15,0.0154379475073913,-0.830008208513061,0.0128136231537285,0.0818795946485432,7.89140164852153e-05,0.015471024105498,0.0021379708208819,7.28737152948325e-15
1.5,0.596284793999944,0.0832758011462611,-7.39407180088082e-12,0.485224252373032,-7.38933511517342e-12,5.02090934100847e-15,0.0140946512974858,-0.82130886166647,0.0115760620127239,0.0833444753827972,6.86742365360316e-05,NaN,NaN,1.05949626605666e-14
