mode,frequency_hz,dimensionless_omega_delay,realization,magnitude,phase_deg,magnitude_error,phase_error_deg_against_exact
low_frequency_mode,2.2204800583180764,0.013951687677309409,exact_transport_delay,1.0,-0.7993728209945075,0.0,0.0
low_frequency_mode,2.2204800583180764,0.013951687677309409,local_dq_first_order_lag,0.9999026894113464,-0.7993209611873667,-9.731058865358744e-05,5.185980714077324e-05
low_frequency_mode,2.2204800583180764,0.013951687677309409,pade_order_1,1.0,-0.799359854907157,0.0,1.2966087350611645e-05
low_frequency_mode,2.2204800583180764,0.013951687677309409,pade_order_2,1.0,-0.7993728209524427,0.0,4.206480431421816e-11
low_frequency_mode,2.2204800583180764,0.013951687677309409,pade_order_3,1.0,-0.7993728209945073,0.0,9.938266061417937e-17
wide_frequency_mode,95.57691129915798,0.600527444780476,exact_transport_delay,0.9999999999999999,-34.407688067696874,-1.1102230246251565e-16,0.0
wide_frequency_mode,95.57691129915798,0.600527444780476,local_dq_first_order_lag,0.8572933723219788,-30.985972214283567,-0.14270662767802123,3.4217158534133034
wide_frequency_mode,95.57691129915798,0.600527444780476,pade_order_1,1.0,-33.42621155596722,0.0,0.981476511729652
wide_frequency_mode,95.57691129915798,0.600527444780476,pade_order_2,1.0000000000000002,-34.401606219501645,2.220446049250313e-16,0.006081848195236339
wide_frequency_mode,95.57691129915798,0.600527444780476,pade_order_3,1.0,-34.40767228110908,0.0,1.578658779271905e-05
